phoneName,phoneNameShow
HUAWEI,华为
vivo,vivo
OPPO,OPPO
Apple,苹果
Xiaomi,小米
samsung,三星
Meizu,魅族
OnePlus,一加
360,360手机
GIONEE,金立
smartisan,锤子科技
nubia,努比亚
blackshark,黑鲨
HMD Global,HMD Global
Lenovo,联想
LeMobile,乐视
Meitu,美图
Realme,Realme
meizu,魅族
Hisense,海信
ZTE,中兴
motorola,摩托罗拉
GiONEE,金立
Coolpad,酷派
YUFLY,宇飞来
Letv,乐视
CMDC,MIKI
Gree,格力
ZUK,联想
SUGAR,糖果手机
koobee,酷比
LENOVO,联想
HTC,HTC
Sony,索尼
HMD Global Oy,HMD Global
SHARP,夏普
DOOV,朵唯
realme,Realme
OUJIA,欧加
asus,华硕
Hodaphone,Hoda
alps,阿尔卑斯
GOME,国美
AGM,AGM手机
xiaolajiao,小辣椒
YuLong,酷派
BlackBerry,黑莓
LGE,LG手机
BBK,步步高
