modelName,modelNamePinYin,modelNameShorthand
长城精灵,changchengjingling,ccjl
长城V80,changchengv80,ccv80
长城M4,changchengm4,ccm4
长城M2,changchengm2,ccm2
长城M1,changchengm1,ccm1
长城C70,changchengc70,ccc70
长城C50,changchengc50,ccc50
长城C30新能源,changchengc30xinnengyuan,ccc30xny
长城C30,changchengc30,ccc30
长城C20R,changchengc20r,ccc20r
长安之星S460,changanzhixings460,cazxs460
长安之星9新能源,changanzhixing9xinnengyuan,cazx9xny
长安之星9,changanzhixing9,cazx9
长安之星7,changanzhixing7,cazx7
长安之星5,changanzhixing5,cazx5
长安之星3,changanzhixing3,cazx3
长安之星2,changanzhixing2,cazx2
长安之星,changanzhixing,cazx
长安星卡新能源,changanxingkaxinnengyuan,caxkxny
长安星卡L1,changanxingkal1,caxkl1
长安星卡C系,changanxingkacxi,caxkcx
长安星卡,changanxingka,caxk
长安星光4500,changanxingguang4500,caxg4500
长安星光,changanxingguang,caxg
长安新能源E-Pro,changanxinnengyuane-pro,caxnye-pro
长安欧尚科尚,changanoushangkeshang,caosks
长安欧尚科赛5,changanoushangkesai5,caosks5
长安欧尚科赛3,changanoushangkesai3,caosks3
长安欧尚科赛,changanoushangkesai,caosks
长安欧尚X70A,changanoushangx70a,caosx70a
长安欧尚X7 EV,changanoushangx7 ev,caosx7 ev
长安欧尚X7,changanoushangx7,caosx7
长安欧尚CX70,changanoushangcx70,caoscx70
长安欧尚A800,changanoushanga800,caosa800
长安欧尚A600EV,changanoushanga600ev,caosa600ev
长安欧尚A600,changanoushanga600,caosa600
长安凯程F70,changankaichengf70,cakcf70
长安VOSS,changanvoss,cavoss
长安V802,changanv802,cav802
长安V5,changanv5,cav5
长安V3,changanv3,cav3
长安UNI-T,changanuni-t,cauni-t
长安E30,changane30,cae30
长安CX30,changancx30,cacx30
长安CX20,changancx20,cacx20
长安CS95,changancs95,cacs95
长安CS85 COUPE,changancs85 coupe,cacs85 coupe
长安CS75 PLUS,changancs75 plus,cacs75 plus
长安CS75 PHEV,changancs75 phev,cacs75 phev
长安CS75,changancs75,cacs75
长安CS55新能源,changancs55xinnengyuan,cacs55xny
长安CS55 PLUS,changancs55 plus,cacs55 plus
长安CS55,changancs55,cacs55
长安CS35 PLUS,changancs35 plus,cacs35 plus
长安CS35,changancs35,cacs35
长安CS15EV,changancs15ev,cacs15ev
长安CS15,changancs15,cacs15
优劲EV,youjinev,yjev
优劲,youjin,yj
帕杰罗·劲畅(进口),pajieluo·jinchang(jinkou),pjl·jc(jk)
帕杰罗·劲畅,pajieluo·jinchang,pjl·jc
欧尚长行EV,oushangchangxingev,oscxev
欧尚长行,oushangchangxing,oscx
哪吒U,nezhau,nzu
哪吒N03,nezhan03,nzn03
哪吒N01,nezhan01,nzn01
哪吒Eureka 02,nezhaeureka 02,nzeureka 02
哪吒Eureka 01,nezhaeureka 01,nzeureka 01
哪吒E-TAKE,nezhae-take,nze-take
马自达2劲翔,mazida2jinxiang,mzd2jx
劲炫ASX,jinxuanasx,jxasx
劲客(海外),jinke(haiwai),jk(hw)
劲客,jinke,jk
劲驰X1,jinchix1,jcx1
都灵,duling,dl
ASX劲炫(进口),asxjinxuan(jinkou),asxjx(jk)
哪吒汽车,nezhaqiche,nzqc
长城,changcheng,cc
长安,changan,ca
长安欧尚,changanoushang,caos
长安跨越,changankuayue,caky
长安轻型车,changanqingxingche,caqxc
长江EV,changjiangev,cjev
长城汽车,changchengqiche,ccqc
长安林肯,changanlinken,calk
长安标致雪铁龙,changanbiaochixuetielong,cabcxtl
长安汽车,changanqiche,caqc
长安沃尔沃,changanwoerwo,cawew
长安福特,changanfute,caft
长安铃木,changanlingmu,calm
长安马自达,changanmacida,camcd
长江汽车,changjiangqiche,cjqc
