key,value
霸气,霸气
大气,大气
犀利,犀利
凌厉,犀利
圆润,圆润
简洁,简洁
简约,简洁
时尚,时尚
协调,协调
漂亮,漂亮
好看,漂亮
大方,大方
帅,帅
硬朗,硬朗
肌肉,肌肉感
强壮,肌肉感
性感,性感
回头率,回头率
神车,神车
小巧,小巧
保有量,街车
泛滥,街车
热销,街车
销量,街车
街车,街车
街上太多,街车
满街都是,街车
大众化,大众化
平民,大众化
普通人,大众化
老百姓,大众化
老板,老板
富豪,老板
小众,小众
女生,女性
女性,女性
男性,男性
年轻,年轻
个性,个性
与众不同,个性
城市,城市代步
市区,城市代步
代步工具,城市代步
上下班,城市代步
出去玩,家用
出游,家用
家里开,家用
家用,家用
公车,公车
公司接待,公车
商务,公车
公私兼用,公私兼用
庄重,庄重
威严 ,庄重
总统座驾,总统座驾
昂贵,尊贵
尊贵,尊贵
有档次,上档次
上档次,上档次
典雅,典雅
高雅,典雅
优雅,典雅
顶级,顶级
高大上,高大上
高端,高大上
品质,品质
高调,高调
张扬,张扬
豪华,豪华
奢华,豪华
华贵,高贵
高贵,高贵
面子,有面子
虚荣心,有面子
权贵,权力
权力,权力
权利,权力
成功,成功
省油,省油
油耗低,省油
实用,实用性
舒适,舒适
舒服,舒适
低调,低调
成本低,维修保养成本低
性价比高,性价比高
物超所值,性价比高
中规中矩,中规中矩
中庸,中规中矩
安全,安全
简单,操控轻松简单
轻松,操控轻松简单
操控性,操控性
底盘稳,底盘稳
地盘稳,底盘稳
动力性,动力性
环保,环保
激情,激情
家族,家族风格
套娃,家族风格
均衡,均衡
科技感,科技感
不拥挤,空间宽敞
大空间,空间宽敞
空间充足,空间宽敞
空间大,空间宽敞
空间挺大,空间宽敞
宽敞,空间宽敞
宽裕,空间宽敞
1拳,空间宽敞
一拳,空间宽敞
2拳,空间宽敞
两拳,空间宽敞
3拳,空间宽敞
三拳,空间宽敞
二郎腿,二郎腿
不少东西,后备箱宽敞
东西很多,后备箱宽敞
很多东西,后备箱宽敞
放倒,后排放倒
可靠性,可靠性
质量好,质量好
耐久性,耐用
耐用,耐用
配置丰富,配置丰富
性能好,性能好
动感,运动感
运动,运动感
运动感,运动感
运动气息,运动感
指向性,指向性
做工好,做工细腻
细腻,做工细腻
稳重,沉稳
沉稳,沉稳
给力,给力
精准,精准
精确,精准
安静,安静
优惠,优惠
推背感,推背感
灵活,灵敏
灵敏,灵敏
厚道,厚道
扎实,扎实
结实,扎实
完美,完美
轻盈,轻盈
精细,精细
精致,精细
惊喜,惊喜
强劲,强劲
保值,保值
平顺,平顺
平稳,平顺
老牌子,老牌子
影响力,影响力
知名度,知名度
无人不知,知名度
信赖,信赖
老气,老气
成熟,成熟
创新,创新
人性化,人性化
现代化,现代化
传统,传统
潮流,潮流
复古,复古
经典,经典
